Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
Oak Street Weather Station,05/22/2015 03:00:00 PM,,7.0,55.0,0.0,0.0,1.4,0.0,63.0,1.9,2.8,,780.0,322.0,12.0,05/22/2015 3:00 PM,OakStreetWeatherStation201505221500
Oak Street Weather Station,05/22/2015 05:00:00 PM,,6.3,56.0,0.0,0.0,1.4,0.0,124.0,1.5,2.3,,180.0,322.0,12.1,05/22/2015 5:00 PM,OakStreetWeatherStation201505221700
Oak Street Weather Station,05/22/2015 06:00:00 PM,,6.5,54.0,0.0,0.0,1.4,0.0,156.0,1.9,3.4,,127.0,322.0,12.1,05/22/2015 6:00 PM,OakStreetWeatherStation201505221800
Oak Street Weather Station,05/22/2015 07:00:00 PM,,6.3,53.0,0.0,0.0,1.4,0.0,150.0,1.4,4.5,,67.0,322.0,12.1,05/22/2015 7:00 PM,OakStreetWeatherStation201505221900
Oak Street Weather Station,05/22/2015 08:00:00 PM,,6.4,52.0,0.0,0.0,1.4,0.0,155.0,1.1,2.3,,10.0,322.0,12.0,05/22/2015 8:00 PM,OakStreetWeatherStation201505222000
Oak Street Weather Station,05/22/2015 09:00:00 PM,,7.4,58.0,0.0,0.0,1.4,0.0,175.0,1.3,2.5,,2.0,322.0,12.0,05/22/2015 9:00 PM,OakStreetWeatherStation201505222100
Oak Street Weather Station,05/22/2015 10:00:00 PM,,7.5,58.0,0.0,0.0,1.4,0.0,164.0,1.7,3.5,,3.0,322.0,12.0,05/22/2015 10:00 PM,OakStreetWeatherStation201505222200
Oak Street Weather Station,05/22/2015 11:00:00 PM,,7.1,45.0,0.0,0.0,1.4,0.0,155.0,0.7,2.3,,2.0,322.0,12.1,05/22/2015 11:00 PM,OakStreetWeatherStation201505222300
Oak Street Weather Station,05/23/2015 08:00:00 AM,,9.0,32.0,0.0,0.0,1.4,0.0,159.0,2.0,3.5,,434.0,322.0,12.1,05/23/2015 8:00 AM,OakStreetWeatherStation201505230800
Oak Street Weather Station,05/23/2015 10:00:00 AM,,10.9,42.0,0.0,0.0,1.4,0.0,155.0,2.3,3.9,,799.0,322.0,12.1,05/23/2015 10:00 AM,OakStreetWeatherStation201505231000
Oak Street Weather Station,05/23/2015 11:00:00 AM,,11.6,62.0,0.0,0.0,1.4,0.0,85.0,2.0,2.8,,850.0,322.0,12.1,05/23/2015 11:00 AM,OakStreetWeatherStation201505231100
Oak Street Weather Station,05/23/2015 12:00:00 PM,,11.2,55.0,0.0,0.0,1.4,0.0,109.0,2.5,3.8,,900.0,322.0,12.1,05/23/2015 12:00 PM,OakStreetWeatherStation201505231200
Oak Street Weather Station,05/23/2015 05:00:00 PM,,12.4,43.0,0.0,0.0,1.4,0.0,147.0,2.0,3.0,,53.0,322.0,12.1,05/23/2015 5:00 PM,OakStreetWeatherStation201505231700
Oak Street Weather Station,05/23/2015 01:00:00 PM,,11.7,50.0,0.0,0.0,1.4,0.0,137.0,2.2,3.3,,887.0,322.0,12.0,05/23/2015 1:00 PM,OakStreetWeatherStation201505231300
Oak Street Weather Station,05/23/2015 04:00:00 PM,,12.5,45.0,0.0,0.0,1.4,0.0,136.0,2.0,3.5,,563.0,322.0,12.1,05/23/2015 4:00 PM,OakStreetWeatherStation201505231600
