INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
ASHLAND AND IRVING PARK,1153.0,1600 W IRVING PARK ROA,05/12/2018,2,,,,,
CHICAGO AND CLARK,1964.0,100 W CHICAGO AVENUE,05/12/2018,3,1175374.528739575,1905745.47783364,41.896744346999995,-87.63132124799999,"(41.896744346875806, -87.63132124815151)"
AUSTIN AND IRVING PARK,1163.0,6000 W IRVING PARK ROAD,05/12/2018,2,1135622.402636023,1926014.192063646,41.953163771999996,-87.776842593,"(41.95316377185154, -87.77684259284736)"
KIMBALL AND DIVERSEY,1583.0,3400 W DIVERSEY AVENUE,05/12/2018,4,1153211.149172713,1918454.477800566,41.932087747,-87.71238583,"(41.932087747378944, -87.71238582951281)"
CICERO AND 47TH,2204.0,4800 W 47TH ST,05/12/2018,7,1145130.0489257441,1873078.44198302,41.807727017,-87.74322936600001,"(41.80772701677172, -87.74322936566276)"
CENTRAL AND LAKE,1743.0,5600 W LAKE STREET,05/12/2018,3,1138951.495695032,1902230.5104657332,41.887838735,-87.76518366299999,"(41.887838735330206, -87.76518366338465)"
CICERO AND ADDISON,1611.0,3600 N CICERO AVENUE,05/12/2018,8,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)"
CENTRAL AND CHICAGO,1972.0,800 N CENTRAL AVENUE,05/12/2018,8,1138836.562608552,1904801.732832435,41.894896579,-87.765543258,"(41.89489657939746, -87.76554325845893)"
71ST AND ASHLAND,2391.0,7100 S ASHLAND,05/12/2018,1,1166868.379865725,1857616.168087255,41.764859382,-87.663940176,"(41.764859382425385, -87.66394017630476)"
MICHIGAN AND ONTARIO,3082.0,628 N MICHIGAN AVE,05/12/2018,17,1177278.716938521,1904554.133997858,41.893432274,-87.624363719,"(41.893432274200684, -87.62436371928398)"
ASHLAND AND 87TH,2452.0,8700 S ASHLAND AVE,05/12/2018,1,1167150.470087748,1846991.212339794,41.735696989000004,-87.663209544,"(41.73569698863625, -87.66320954445679)"
CICERO AND WASHINGTON,1892.0,100 N CICERO AVENUE,05/12/2018,8,1144328.984091479,1900095.1708384592,41.88187971,-87.74548924700001,"(41.88187970991601, -87.7454892473012)"
AUSTIN AND ADDISON,1493.0,6000 W ADDISON STREET,05/12/2018,4,1135698.173154422,1923360.229527805,41.945879676,-87.776627421,"(41.94587967559099, -87.77662742093737)"
FOSTER AND NORTHWEST HIGHWAY,3003.0,5616 W FOSTER AVE,05/12/2018,3,1137626.093281239,1934273.239128334,41.97579142,-87.769276893,"(41.975791419680704, -87.76927689293382)"
BELMONT AND KEDZIE,1373.0,3200 W BELMONT,05/12/2018,1,1154461.587940363,1921143.091003516,41.939440561,-87.707718516,"(41.93944056117365, -87.70771851630873)"
STONY ISLAND/CORNELL AND 67TH,2721.0,6700 S STONY ISLAND A,05/12/2018,9,1187984.143047539,1860863.338367666,41.773292896,-87.586442368,"(41.77329289585066, -87.58644236831432)"
CALIFORNIA AND DIVERSEY,1511.0,2800 N CALIFORNIA AVE,05/12/2018,8,1157189.355049829,1918495.6447540692,41.932120719000004,-87.6977653,"(41.93212071910647, -87.69776530036465)"
HARLEM AND BELMONT,1391.0,3200 N HARLEM AVE,05/12/2018,3,1127481.020995451,1920467.613239239,41.938084468,-87.80689674899999,"(41.93808446822169, -87.80689674887883)"
PULASKI AND ARCHER,2153.0,5000 S ARCHER AVE,05/12/2018,2,1150501.818909837,1871162.311703322,41.802365973,-87.72357676600001,"(41.80236597333895, -87.72357676611004)"
SACRAMENTO AND CHICAGO,1814.0,3000 W CHICAGO AVENUE,05/12/2018,8,1156075.266375505,1905216.6047707181,41.895704525,-87.702218524,"(41.895704524946225, -87.70221852353758)"
STONEY ISLAND AND 76TH,2632.0,7600 S STONY ISLAND A,05/01/2018,33,1188092.796191935,1854889.3541583042,41.756897173,-87.586234285,"(41.75689717260223, -87.58623428506996)"
PULASKI AND DIVERSEY,1542.0,2800 N PULASKI ROAD,05/12/2018,2,1149200.724531183,1918332.222549679,41.931831026,-87.72712687299999,"(41.93183102561505, -87.72712687300454)"
ROOSEVELT AND HALSTED,2233.0,800 W ROOSEVELT ROAD,05/19/2018,8,1171199.282357741,1894968.0563937242,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)"
PULASKI AND LAWRENCE,1173.0,4000 W LAWRENCE AVENUE,05/19/2018,3,1148844.2200856009,1931638.45430438,41.968351285,-87.728091672,"(41.96835128527914, -87.72809167198088)"
CICERO AND ADDISON,1611.0,3600 N CICERO AVENUE,05/19/2018,9,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)"
KEDZIE AND ARMITAGE,1834.0,3200 W ARMITAGE AVENUE,05/19/2018,3,1154700.851347995,1913153.252187904,41.917511023,-87.707053639,"(41.91751102291878, -87.7070536388797)"
ASHLAND AND FULLERTON,1652.0,2400 N ASHLAND AVENUE,05/19/2018,10,1165228.0733428379,1916032.319169157,41.92519389,-87.66829436299999,"(41.92519388981048, -87.66829436339881)"
KOSTNER AND NORTH,2012.0,4400 W GRAND AVE,05/10/2018,4,1146773.519128439,1910425.663958581,41.91018141,-87.73624887,"(41.910181409597406, -87.73624887040725)"
KOSTNER AND NORTH,2011.0,1600 N KOSTNER,05/10/2018,1,1146732.108679105,1910282.120990798,41.909788304,-87.736404667,"(41.90978830394343, -87.73640466739216)"
ASHLAND AND DIVISION,1793.0,1600 W DIVISION STREET,05/19/2018,3,1165489.684200442,1908112.312963909,41.903455316,-87.66755899399999,"(41.903455316483814, -87.66755899396976)"
ASHLAND AND IRVING PARK,1153.0,1600 W IRVING PARK ROA,03/17/2017,5,,,,,
ASHLAND AND LAWRENCE,1142.0,4800 N ASHLAND AVENUE,05/10/2018,6,1164751.686785145,1932001.206626392,41.96902343,-87.669590434,"(41.969023429614026, -87.66959043354217)"
PETERSON AND WESTERN,1014.0,2400 W PETERSON,05/19/2018,8,1159214.211316277,1939825.301874586,41.99060901,-87.689735481,"(41.990609009807294, -87.68973548092968)"
CICERO AND HARRISON,2023.0,4800 W HARRISON STREET,05/10/2018,2,1144451.867388303,1896949.5619594632,41.873245464,-87.74511717899999,"(41.873245464379586, -87.7451171788807)"
OGDEN AND KOSTNER,2223.0,4400 W OGDEN AVENUE,05/19/2018,1,1147406.592439224,1887689.099869462,41.847777523000005,-87.734505969,"(41.84777752280453, -87.73450596874825)"
CALIFORNIA AND DIVERSEY,1514.0,2800 W DIVERSEY,05/19/2018,23,1157212.54253358,1918526.6744349431,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)"
DIVERSEY AND WESTERN,1431.0,2800 N WESTERN AVENUE,05/19/2018,6,1159837.205417355,1918550.506189309,41.932216988,-87.688033281,"(41.93221698794738, -87.68803328089533)"
LAFAYETTE AND 87TH,2503.0,30 W 87TH STREET,05/19/2018,40,1177407.6518002371,1847320.7720583118,41.736376037,-87.625621311,"(41.736376036604916, -87.62562131092602)"
MILWAUKEE AND DEVON,1272.0,6400 N MILWAUKEE AVEN,05/19/2018,4,1132463.750397878,1942107.9115076268,41.997382173000005,-87.788077674,"(41.99738217345368, -87.78807767391953)"
PULASKI AND DIVISION,1801.0,1200 N PULASKI ROAD,05/11/2018,1,1149459.590666926,1907723.219884254,41.902713901999995,-87.72645145700001,"(41.902713901936174, -87.72645145715836)"
AUSTIN AND ADDISON,1491.0,3600 N AUSTIN AVENUE,05/19/2018,8,1135691.599896458,1923335.967306169,41.945813215,-87.776652162,"(41.9458132146695, -87.77665216156436)"
CHICAGO AND CLARK,1963.0,100 W CHICAGO AVENUE,05/19/2018,4,1175374.528739575,1905745.47783364,41.896744346999995,-87.63132124799999,"(41.896744346875806, -87.63132124815151)"
ARCHER AND CICERO,2084.0,5400 S ARCHER AVE,05/19/2018,9,1145209.426392053,1869810.657411975,41.798758208,-87.743020541,"(41.798758207843264, -87.74302054146467)"
DAMEN AND 63RD,2702.0,6300 S DAMEN AVENUE,05/19/2018,4,1164069.4079432979,1862830.277442834,41.779226920999996,-87.674052731,"(41.77922692069256, -87.67405273137854)"
FOSTER AND NAGLE,1031.0,5200 N NAGLE,05/19/2018,9,1132529.656558223,1934201.702060651,41.97568567,-87.788020406,"(41.97568566971868, -87.78802040620296)"
COLUMBUS AND ILLINOIS,1952.0,500 N COLUMBUS DRIVE,05/19/2018,7,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)"
KOSTNER AND NORTH,2011.0,1600 N KOSTNER,05/19/2018,2,1146732.108679105,1910282.120990798,41.909788304,-87.736404667,"(41.90978830394343, -87.73640466739216)"
CICERO AND PETERSON,1204.0,4800 W PETERSON AVENUE,05/19/2018,2,1143273.766829016,1939491.9446451268,41.990008007,-87.748376951,"(41.99000800729908, -87.74837695118997)"
