ADDRESS,CAMERA ID,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
450 N COLUMBUS DR,CHI125,02/26/2018,9,1178351.216208364,1903356.801857411,41.890122353,-87.620461395,"(41.890122352505166, -87.62046139513696)"
5420 S RACINE AVE,CHI118,02/26/2018,5,1169208.608674489,1868739.4702261281,41.795332775,-87.65504097899999,"(41.795332774848234, -87.65504097855228)"
3130 N ASHLAND AVE,CHI172,02/26/2018,25,1165057.801533191,1920991.385440163,41.938805468000005,-87.668778779,"(41.93880546751142, -87.66877877931208)"
2513 W 55TH,CHI070,02/26/2018,13,1160431.7488699341,1868077.6747288718,41.793702249,-87.687244272,"(41.79370224937009, -87.68724427195639)"
2108 S WESTERN AVE,CHI135,02/26/2018,2,1160653.576373094,1889897.05800109,41.853572622,-87.685827855,"(41.853572622430164, -87.6858278546488)"
3137 W PETERSON,CHI024,02/26/2018,26,1154183.287274807,1939668.834930217,41.990281914,-87.70824462600001,"(41.9902819135942, -87.70824462568225)"
2432 N ASHLAND,CHI092,02/26/2018,5,1165215.788124507,1916401.7542988681,41.926207903000005,-87.668328977,"(41.92620790295943, -87.66832897708693)"
1334 W GARFIELD BLVD,CHI119,02/26/2018,33,1168211.288538348,1868328.4656455282,41.794226466,-87.658709999,"(41.79422646635146, -87.65870999891658)"
2417 W 103RD ST,CHI165,02/26/2018,1,1161996.101263966,1836227.314129496,41.706267661,-87.682391472,"(41.70626766073214, -87.68239147238012)"
2448 N CLYBOURN AVE,CHI090,02/26/2018,8,1164505.928359546,1916376.3768098159,41.926153343,-87.67093808700001,"(41.926153342916486, -87.67093808722792)"
324 S KEDZIE AVE,CHI123,02/26/2018,3,1155057.7681046259,1898246.715441378,41.876598942,-87.706142679,"(41.87659894232968, -87.70614267856668)"
7518 S VINCENNES,CHI063,02/26/2018,16,1175649.435042562,1855003.1916943858,41.75749704,-87.631833328,"(41.75749703994495, -87.63183332832696)"
515 S CENTRAL AVE,CHI057,02/26/2018,6,1139183.475728338,1896944.5811828282,41.87332924,-87.764460415,"(41.873329240103914, -87.76446041521123)"
3843 S WESTERN,CHI007,02/26/2018,55,1161037.665305821,1878964.2913163768,41.823563957,-87.684721126,"(41.82356395744577, -87.68472112618639)"
6909 S KEDZIE,CHI014,02/26/2018,40,1156276.17519456,1858582.894182457,41.767731869,-87.70273790700001,"(41.76773186901884, -87.70273790708362)"
5433 S PULASKI,CHI059,02/26/2018,10,1150670.689050764,1868131.267079955,41.794045046,-87.72303636299999,"(41.79404504596532, -87.72303636259336)"
4965 S ARCHER,CHI032,02/26/2018,1,1150880.680088461,1871373.743751604,41.80293879,-87.722181792,"(41.802938790166, -87.72218179156356)"
4843 W FULLERTON,CHI044,02/26/2018,28,1143534.1060429842,1915477.8245049168,41.92410633,-87.74802266399999,"(41.92410632982652, -87.74802266359677)"
3034 W FOSTER,CHI025,02/26/2018,7,1155157.924620047,1934429.0282307658,41.97588404,-87.704801123,"(41.9758840401294, -87.70480112338926)"
1638 N ASHLAND AVE,CHI113,02/26/2018,12,1165381.327302703,1911149.564060055,41.911792045,-87.667870459,"(41.91179204452259, -87.66787045896686)"
449 N COLUMBUS DR,CHI124,02/26/2018,12,1178428.35425324,1903326.613409231,41.890037755,-87.620179034,"(41.89003775504898, -87.62017903427099)"
506 S CENTRAL AVE,CHI130,02/26/2018,7,1139100.7382016021,1897035.93011447,41.873581418,-87.76476196799999,"(41.87358141810132, -87.7647619684764)"
2335 W CERMAK RD,CHI110,02/26/2018,3,1160979.627413278,1889300.744309286,41.851929523,-87.68464766299999,"(41.85192952334165, -87.68464766256305)"
5509 W FULLERTON,CHI041,02/26/2018,11,1139212.2827424,1915372.613784541,41.923897472,-87.76390557799999,"(41.92389747217995, -87.76390557836874)"
5816 W JACKSON,CHI058,02/26/2018,69,1137564.894528388,1898340.606160034,41.877189405,-87.77036950200001,"(41.87718940463045, -87.7703695017756)"
3851 W 79th,CHI073,02/26/2018,2,1151859.077753413,1851860.018482846,41.749370908,-87.719104675,"(41.74937090787529, -87.71910467544157)"
1754 N PULASKI RD,CHI157,02/26/2018,6,1149394.77705002,1911607.800369421,41.913374831,-87.7265886,"(41.91337483050126, -87.72658859994081)"
6818 S KEDZIE,CHI018,02/26/2018,40,1156183.4762995,1859144.993983757,41.769276221,-87.703062595,"(41.769276221338444, -87.70306259506)"
2603 W 79TH,CHI066,02/26/2018,4,1160350.070879175,1852097.8260689732,41.74985294,-87.687983475,"(41.749852940263196, -87.68798347502599)"
19 W CHICAGO AVE,CHI133,02/26/2018,10,1176000.008484107,1905682.004927479,41.896556106999995,-87.629025904,"(41.89655610710888, -87.62902590382873)"
6250 W FULLERTON,CHI040,02/26/2018,6,1134113.48240834,1915315.343641525,41.923831699000004,-87.78264224200001,"(41.92383169923362, -87.78264224184598)"
